High Level,TRCP SECTOR,Road Corridor,GIS Link,Group,Id+Tag,Project Tag,V6 Item,TRCP Projects,Status,Cost Status,SUBTOTALS($),In V7,TRDS2017-ID,TRDS2017-Project,TRDS2017-Desc,V7 Item,TRDS2017-TRCP
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Fraser Drive,49(1): (cont.) Traffic Lights Total inc in item 48(b),(cont.) Traffic Lights Total inc in item 48(b),49(1),(cont.) Traffic Lights Total inc in item 48(b),Completed,,0,Yes,EXCL,V6 item not in TRDS-delete,0,,EXCL
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Fraser Drive,50: Leisure Dr to Amaroo Drive Widen and Strengthen to 4 lanes,Leisure Dr to Amaroo Drive Widen and Strengthen to 4 lanes,50,Leisure Dr to Amaroo Drive Widen and Strengthen to 4 lanes,Not Started,Preliminary Estimate,3630720,Yes,20,Four-laning of Fraser Drive,Kirkwood Rd/Fraser Dr (Item 17) intersection to Fraser Dr/ Amaroo Dr intersection. Approx 3.4km4-lane section.,,Existing
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Fraser Drive,51: i/s -  Broadwater Parkway. Includes urban land acquisition and construction of Broadwater ,i/s -  Broadwater Parkway. Includes urban land acquisition and construction of Broadwater ,51,"i/s -  Broadwater Parkway. Includes urban land acquisition and construction of Broadwater Parkway Ch 0-250m, and planning approval for whole of Broadwater Parkway",Not Started,Preliminary Estimate,4427685,Yes,LEGACY,V6 item not in TRDS but retain.,0,,LEGACY
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Fraser Drive,51.1: (cont.) Environmental land acquisition and earthworks,(cont.) Environmental land acquisition and earthworks,51.1,(cont.) Environmental land acquisition and earthworks,Not Started,Preliminary Estimate,963861,Yes,LEGACY,V6 item not in TRDS but retain.,0,,LEGACY
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Fraser Drive,51(a): i/s - Amaroo Dr reprioritisation,i/s - Amaroo Dr reprioritisation,51(a),i/s - Amaroo Dr reprioritisation,Not Started,Preliminary Estimate,576450,Yes,20,Four-laning of Fraser Drive,Kirkwood Rd/Fraser Dr (Item 17) intersection to Fraser Dr/ Amaroo Dr intersection. Approx 3.4km4-lane section.,,Existing
,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Fraser Drive,TRDS-21: Signalise Greenway Drive/ Traders Way intersection,Signalise Greenway Drive/ Traders Way intersection,,Signalise Greenway Drive/ Traders Way intersection,TRDS-New,,0,Yes,21,Signalise Greenway Drive/ Traders Way intersection,New signalised intersection.,,New
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Fraser Drive,52: i/s Terranora Rd,i/s Terranora Rd,52,i/s Terranora Rd,Completed,Preliminary Estimate,823500,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Fraser Drive,52(a): Route Lighting from Amaroo to Terranora Rd,Route Lighting from Amaroo to Terranora Rd,52(a),Route Lighting from Amaroo to Terranora Rd,Completed,Preliminary Estimate,543967.5,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),53: Frasers Dr to Eucalyptus Dr (Centaur) - Widening 2 Lanes,Frasers Dr to Eucalyptus Dr (Centaur) - Widening 2 Lanes,53,Frasers Dr to Eucalyptus Dr (Centaur) - Widening 2 Lanes,Completed,Actual Cost,972506.25,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),53 (cont): (cont.) Route Lighting,(cont.) Route Lighting,53 (cont),(cont.) Route Lighting,Completed,Actual Cost,139837.5,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),53(a): Eucalyptus Dr to Greenway Dr - 2 Lanes widening,Eucalyptus Dr to Greenway Dr - 2 Lanes widening,53(a),Eucalyptus Dr to Greenway Dr - 2 Lanes widening,Commenced,Detailed Estimate,3330756,No,EXCL,V6 item not in TRDS-delete,0,,EXCL
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),54: i/s - Eucalyptus Dr,i/s - Eucalyptus Dr,54,i/s - Eucalyptus Dr,Completed,Detailed Estimate,536250,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),54(a): i/s - Nudgee,i/s - Nudgee,54(a),i/s - Nudgee,Commenced,Detailed Estimate,536250,No,EXCL,V6 item not in TRDS-delete,0,,EXCL
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),55: Bridge over Western Drainage Canal ,Bridge over Western Drainage Canal ,55,Bridge over Western Drainage Canal ,Completed,Detailed Estimate,1356000,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),56: i/s - Greenway Dr,i/s - Greenway Dr,56,i/s - Greenway Dr,Completed,Detailed Estimate,169500,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),57: Darlington Dr (Motorway interchange to Leisure Dr) - 2 Lanes,Darlington Dr (Motorway interchange to Leisure Dr) - 2 Lanes,57,Darlington Dr (Motorway interchange to Leisure Dr) - 2 Lanes,Completed,Detailed Estimate,596640,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),57(a): Darlington Dr to Winders Pl - 2 Lanes Widening,Darlington Dr to Winders Pl - 2 Lanes Widening,57(a),Darlington Dr to Winders Pl - 2 Lanes Widening,Completed,Detailed Estimate,198880,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),57(b): Winders Pl to Greenway Dr - 2 Lanes Widening,Winders Pl to Greenway Dr - 2 Lanes Widening,57(b),Winders Pl to Greenway Dr - 2 Lanes Widening,Not Started,Preliminary Estimate,3729997.5,Yes,LEGACY,V6 item not in TRDS but retain.,0,,LEGACY
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),58: i/s - Darlington Dr (East),i/s - Darlington Dr (East),58,i/s - Darlington Dr (East),Completed,Actual Cost,456520,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),59: Darlington Dr/Motorway Intersection,Darlington Dr/Motorway Intersection,59,Darlington Dr/Motorway Intersection,Completed,Actual Cost,293144.6,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Leisure Drive widening (2 Lane),59(a): Winders Place/Leisure Dr Intersection (Signals only),Winders Place/Leisure Dr Intersection (Signals only),59(a),Winders Place/Leisure Dr Intersection (Signals only),Completed,Actual Cost,180800,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Darlington Drive,60: Darlington Dr from Tweed Heads Bypass to Leisure Drive,Darlington Dr from Tweed Heads Bypass to Leisure Drive,60,Darlington Dr from Tweed Heads Bypass to Leisure Drive,Completed,Detailed Estimate,1566180,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Darlington Drive,60(a): South bound offramp from Minjungbal Dr to Darlington Dr,South bound offramp from Minjungbal Dr to Darlington Dr,60(a),South bound offramp from Minjungbal Dr to Darlington Dr,Completed,Detailed Estimate,418100,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,BANORA POINT,,Darlington Drive,61: Interchange -- contribution to RTA ,Interchange -- contribution to RTA ,61,Interchange -- contribution to RTA ,Completed,Actual Cost,675740,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(a): Minjungbal Dr/Shallow Bay Dr Intersection,Minjungbal Dr/Shallow Bay Dr Intersection,61(a),Minjungbal Dr/Shallow Bay Dr Intersection,Completed,Detailed Estimate,339000,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(b): Minjungbal Dr/Machinery Dr Intersection,Minjungbal Dr/Machinery Dr Intersection,61(b),Minjungbal Dr/Machinery Dr Intersection,Completed,Actual Cost,364990,Yes,28,Upgrade Minjungbal Drive/ Machinery Drive intersection,Upgrade signal cycle times and phasing.,,New
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(c): Shallow Bay Dr to Eastlakes Dr Connection,Shallow Bay Dr to Eastlakes Dr Connection,61(c),Shallow Bay Dr to Eastlakes Dr Connection,Completed,Actual Cost,378550,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(d): Amber Rd/Machinery Dr Intersection,Amber Rd/Machinery Dr Intersection,61(d),Amber Rd/Machinery Dr Intersection,Completed,Actual Cost,214866.11,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(e): Extend Minjungbal Dr Right Turn Lane (30m) to Dry Dock Rd,Extend Minjungbal Dr Right Turn Lane (30m) to Dry Dock Rd,61(e),Extend Minjungbal Dr Right Turn Lane (30m) to Dry Dock Rd,Completed,Detailed Estimate,169500,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(f): Extend Davey St( from Kirkwood to i/s Eastlakes Dr and Soorley St),Extend Davey St( from Kirkwood to i/s Eastlakes Dr and Soorley St),61(f),Extend Davey St( from Kirkwood to i/s Eastlakes Dr and Soorley St),Not Started,Preliminary Estimate,5187135,Yes,27,Extend Davey Street toMinjungbal Drive,Davey St extension to Minjungbal Dr Interchange/ Underpass. Via Soorley St to the east of Eastlake Dr.,,Existing
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(g): Extend Eastlakes Dr (from i/s Eastlakes and Soorley to Pacific Hwy - incl. residential lan,Extend Eastlakes Dr (from i/s Eastlakes and Soorley to Pacific Hwy - incl. residential lan,61(g),Extend Eastlakes Dr (from i/s Eastlakes and Soorley to Pacific Hwy - incl. residential land acquisition),Not Started,Preliminary Estimate,18748350,Yes,27,Extend Davey Street toMinjungbal Drive,Davey St extension to Minjungbal Dr Interchange/ Underpass. Via Soorley St to the east of Eastlake Dr.,,Existing
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(g1): (cont.) Environmental land acquisition,(cont.) Environmental land acquisition,61(g1),(cont.) Environmental land acquisition,Not Started,Preliminary Estimate,10524.8,Yes,27,Extend Davey Street toMinjungbal Drive,Davey St extension to Minjungbal Dr Interchange/ Underpass. Via Soorley St to the east of Eastlake Dr.,,Existing
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(g2): (cont.) Recreational land acquisition,(cont.) Recreational land acquisition,61(g2),(cont.) Recreational land acquisition,Not Started,Preliminary Estimate,21450,Yes,27,Extend Davey Street toMinjungbal Drive,Davey St extension to Minjungbal Dr Interchange/ Underpass. Via Soorley St to the east of Eastlake Dr.,,Existing
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(h): Elsie Street extention to East Lakes Drive,Elsie Street extention to East Lakes Drive,61(h),Elsie Street extention to East Lakes Drive,Not Started,Preliminary Estimate,6271867.5,Yes,27,Extend Davey Street toMinjungbal Drive,Davey St extension to Minjungbal Dr Interchange/ Underpass. Via Soorley St to the east of Eastlake Dr.,,Existing
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,61(h1): (cont.) Earthworks allowance,(cont.) Earthworks allowance,61(h1),(cont.) Earthworks allowance,Not Started,Preliminary Estimate,658800,Yes,27,Extend Davey Street toMinjungbal Drive,Davey St extension to Minjungbal Dr Interchange/ Underpass. Via Soorley St to the east of Eastlake Dr.,,Existing
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,TRDS-8: Six-laning of the PacificHighway,Six-laning of the PacificHighway,,Six-laning of the PacificHighway,TRDS-New,,0,Yes,8,Six-laning of the PacificHighway,"Motorway upgrade 6-lanes, Tugan to South Tweed Heads/Sextons Hill interchange.",,New
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Greenway Dve,TRDS-21: Signalise Greenway Drive/ Traders Way intersection,Signalise Greenway Drive/ Traders Way intersection,,Signalise Greenway Drive/ Traders Way intersection,TRDS-New,,0,Yes,21,Signalise Greenway Drive/ Traders Way intersection,New signalised intersection.,,New
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Greenway Dve,TRDS-22: Four-laning of GreenwayDrive,Four-laning of GreenwayDrive,,Four-laning of GreenwayDrive,TRDS-New,,0,Yes,22,Four-laning of GreenwayDrive,Traders Way to Doyal Dr (St Joseph’s College entrance). Approx 850m 4-lanesection.,,New
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Leisure Drive,TRDS-23: Signalise Leisure Drive/ Darlington Drive intersection,Signalise Leisure Drive/ Darlington Drive intersection,,Signalise Leisure Drive/ Darlington Drive intersection,TRDS-New,,0,Yes,23,Signalise Leisure Drive/ Darlington Drive intersection,Replaces existing roundabout.,,New
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,TRDS-28: Upgrade Minjungbal Drive/ Machinery Drive intersection,Upgrade Minjungbal Drive/ Machinery Drive intersection,,Upgrade Minjungbal Drive/ Machinery Drive intersection,TRDS-New,,0,Yes,28,Upgrade Minjungbal Drive/ Machinery Drive intersection,Upgrade signal cycle times and phasing.,,New
URBAN ROADS,SECTOR 2 - TWEED SOUTH,TWEED HEADS SOUTH/BANORA,,Minjungbal Dve,TRDS-29: Upgrade Sexton Hill Drive/ Darlington Drive intersection,Upgrade Sexton Hill Drive/ Darlington Drive intersection,,Upgrade Sexton Hill Drive/ Darlington Drive intersection,TRDS-New,,0,Yes,29,Upgrade Sexton Hill Drive/ Darlington Drive intersection,Add left turn slip lane to Darlington Dr from Sexton Hill Dr.,,New
URBAN ROADS,SECTOR 5 - TERRANORA,TERRANORA / AREA E,,Terranora Road,62: Upgrade existing formation from Mahers Lane to Fraser Drive 2 lane only,Upgrade existing formation from Mahers Lane to Fraser Drive 2 lane only,62,Upgrade existing formation from Mahers Lane to Fraser Drive 2 lane only,Not Started,Preliminary Estimate,5900377.5,No,EXCL,V6 item not in TRDS-delete,0,,EXCL
URBAN ROADS,SECTOR 5 - TERRANORA,TERRANORA / AREA E,,Broadwater Parkway,TRDS-25: Construct BroadwaterParkway,Construct BroadwaterParkway,,Construct BroadwaterParkway,TRDS-New,,0,Yes,25,Construct BroadwaterParkway,Terranora Rd to Fraser Dr2-lane connection via Altitude Aspire development.,,Existing
URBAN ROADS,SECTOR 5 - TERRANORA,TERRANORA / AREA E,,Broadwater Parkway,63: Naponyah Rd - Existing section off Bilambil Rd,Naponyah Rd - Existing section off Bilambil Rd,63,Naponyah Rd - Existing section off Bilambil Rd,Completed,Detailed Estimate,372900,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 5 - TERRANORA,TERRANORA / AREA E,,Terranora Road,TRDS-26: Upgrade Terranora Road/ Mahers Lane intersection (roundabout),Upgrade Terranora Road/ Mahers Lane intersection (roundabout),,Upgrade Terranora Road/ Mahers Lane intersection (roundabout),TRDS-New,,0,Yes,26,Upgrade Terranora Road/ Mahers Lane intersection (roundabout),Roundabout intersection. In conjunction with upgrade Item 25.,,New
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Elrond Drive,65: Wommin Bay Rd and Sand St Intersection,Wommin Bay Rd and Sand St Intersection,65,Wommin Bay Rd and Sand St Intersection,Not Started,Preliminary Estimate,777750,Yes,31,Upgrade Wommin Bay Road/ Sand Street intersection (roundabout),New roundabout intersection.,,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Elrond Drive,66: Terrace Street Intersection,Terrace Street Intersection,66,Terrace Street Intersection,Not Started,Preliminary Estimate,777750,Yes,38,Extend Elrond Drive toOzone Street,"Elrond Dr to Ozone St connection, further investigation to be undertaken.",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Elrond Drive,67: Terrace Street to Ozone St. (Sand Street),Terrace Street to Ozone St. (Sand Street),67,Terrace Street to Ozone St. (Sand Street),Not Started,Preliminary Estimate,1307306.25,Yes,38,Extend Elrond Drive toOzone Street,"Elrond Dr to Ozone St connection, further investigation to be undertaken.",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Elrond Drive,68:  Ozone St Intersection, Ozone St Intersection,68, Ozone St Intersection,Not Started,Preliminary Estimate,2546445,Yes,38,Extend Elrond Drive toOzone Street,"Elrond Dr to Ozone St connection, further investigation to be undertaken.",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Elrond Drive,69: Ozone St. to Beach St.,Ozone St. to Beach St.,69,Ozone St. to Beach St.,Not Started,Preliminary Estimate,5944846.5,Yes,38,Extend Elrond Drive toOzone Street,"Elrond Dr to Ozone St connection, further investigation to be undertaken.",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Elrond Drive,70: Beach St to Monarch st,Beach St to Monarch st,70,Beach St to Monarch st,Completed,Detailed Estimate,606810,Yes,38,Extend Elrond Drive toOzone Street,"Elrond Dr to Ozone St connection, further investigation to be undertaken.",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Elrond Drive,71: Monarch St to Turnock st (Widen and strengthen),Monarch St to Turnock st (Widen and strengthen),71,Monarch St to Turnock st (Widen and strengthen),Completed,Detailed Estimate,516975,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Elrond Drive,72:  Turnock St Intersection, Turnock St Intersection,72, Turnock St Intersection,Completed,Detailed Estimate,396630,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Ozone Street Link,73: Kingscliff St.Intersection,Kingscliff St.Intersection,73,Kingscliff St.Intersection,Completed,Detailed Estimate,175150,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Ozone Street Link,74: Kingscliff St to Sands Street (Widen and strengthen),Kingscliff St to Sands Street (Widen and strengthen),74,Kingscliff St to Sands Street (Widen and strengthen),Not Started,Preliminary Estimate,585600,Yes,34,East-west link to TweedCoast Road,"New east-west link from north Kingscliff to Tweed Coast Rd. Further investigation required, proposed option includes Ozone St extension to Tweed Coast Rd via new Sand St intersection (Item37).",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Ozone Street Link,75: Sand St to Tweed Coast Road,Sand St to Tweed Coast Road,75,Sand St to Tweed Coast Road,Not Started,Preliminary Estimate,15799517.28,Yes,34,East-west link to TweedCoast Road,"New east-west link from north Kingscliff to Tweed Coast Rd. Further investigation required, proposed option includes Ozone St extension to Tweed Coast Rd via new Sand St intersection (Item37).",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Ozone Street Link,75(a): Sand St to Tweed Coast Road - industrial land (IN1) acquisition,Sand St to Tweed Coast Road - industrial land (IN1) acquisition,75(a),Sand St to Tweed Coast Road - industrial land (IN1) acquisition,Not Started,Preliminary Estimate,3680820,Yes,34,East-west link to TweedCoast Road,"New east-west link from north Kingscliff to Tweed Coast Rd. Further investigation required, proposed option includes Ozone St extension to Tweed Coast Rd via new Sand St intersection (Item37).",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Ozone Street Link,75(b): Sand St to Tweed Coast Road - environmental land (E2) acquisition,Sand St to Tweed Coast Road - environmental land (E2) acquisition,75(b),Sand St to Tweed Coast Road - environmental land (E2) acquisition,Not Started,Preliminary Estimate,8580,Yes,34,East-west link to TweedCoast Road,"New east-west link from north Kingscliff to Tweed Coast Rd. Further investigation required, proposed option includes Ozone St extension to Tweed Coast Rd via new Sand St intersection (Item37).",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Ozone Street Link,76: Sand St to Tweed Coast Road - residential land (R1) acquisition,Sand St to Tweed Coast Road - residential land (R1) acquisition,76,Sand St to Tweed Coast Road - residential land (R1) acquisition,Not Started,Preliminary Estimate,634920,Yes,34,East-west link to TweedCoast Road,"New east-west link from north Kingscliff to Tweed Coast Rd. Further investigation required, proposed option includes Ozone St extension to Tweed Coast Rd via new Sand St intersection (Item37).",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Ozone Street Link,77: Rotumah St/Ozone St Intersection,Rotumah St/Ozone St Intersection,77,Rotumah St/Ozone St Intersection,Not Started,Preliminary Estimate,777750,Yes,34,East-west link to TweedCoast Road,"New east-west link from north Kingscliff to Tweed Coast Rd. Further investigation required, proposed option includes Ozone St extension to Tweed Coast Rd via new Sand St intersection (Item37).",,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Ozone Street Link,78: Tweed Coast Road (Signals included) Intersection,Tweed Coast Road (Signals included) Intersection,78,Tweed Coast Road (Signals included) Intersection,Not Started,Preliminary Estimate,2205150,Yes,36,Construct Tweed Coast Road/ East-west Link Road intersection (roundabout),2-lane roundabout intersection in conjunction with Item 34.,,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Ozone Street,TRDS-37: Upgrade Ozone Street/ Sand Street intersection (roundabout),Upgrade Ozone Street/ Sand Street intersection (roundabout),,Upgrade Ozone Street/ Sand Street intersection (roundabout),TRDS-New,,0,Yes,37,Upgrade Ozone Street/ Sand Street intersection (roundabout),2-lane roundabout in conjunction with Item 34.,,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Turnock Street Extension,79: Cudgen Rd Intersection,Cudgen Rd Intersection,79,Cudgen Rd Intersection,Completed,Detailed Estimate,305100,Yes,40,Extend Turnock Street toTweed Coast Road,New east-west link between south Kingscliff and Tweed Coast Rd. Completed in conjunction with Item 39.,,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Turnock Street Extension,80: Cudgen Rd to Pearl Street,Cudgen Rd to Pearl Street,80,Cudgen Rd to Pearl Street,Completed,Detailed Estimate,2367293.5,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Turnock Street Extension,80.1: (cont.) Widen and Strengthen,(cont.) Widen and Strengthen,80.1,(cont.) Widen and Strengthen,Not Started,Preliminary Estimate,1306620,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Turnock Street Extension,81: Pearl St Intersection,Pearl St Intersection,81,Pearl St Intersection,Completed,Detailed Estimate,480250,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Turnock Street Extension,81(a): Elrond Drive to Tweed Coast Road,Elrond Drive to Tweed Coast Road,81(a),Elrond Drive to Tweed Coast Road,Not Started,Preliminary Estimate,16462405.5,Yes,40,Extend Turnock Street toTweed Coast Road,New east-west link between south Kingscliff and Tweed Coast Rd. Completed in conjunction with Item 39.,,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Turnock Street Extension,81(a).1: (cont.) Residential land (R1) acquisition (Elrond Dr),(cont.) Residential land (R1) acquisition (Elrond Dr),81(a).1,(cont.) Residential land (R1) acquisition (Elrond Dr),Not Started,Preliminary Estimate,4584300,Yes,40,Extend Turnock Street toTweed Coast Road,New east-west link between south Kingscliff and Tweed Coast Rd. Completed in conjunction with Item 39.,,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Turnock Street Extension,81(a).2: (cont.) Environmental land (E2) acquisition (Elrond Dr),(cont.) Environmental land (E2) acquisition (Elrond Dr),81(a).2,(cont.) Environmental land (E2) acquisition (Elrond Dr),Not Started,Preliminary Estimate,4760,Yes,40,Extend Turnock Street toTweed Coast Road,New east-west link between south Kingscliff and Tweed Coast Rd. Completed in conjunction with Item 39.,,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,KINGSCLIFF,,Turnock Street Extension,81(b): Turnock St and Tweed Coast Road Intersection Covered under Tweed Coast Road 83(b),Turnock St and Tweed Coast Road Intersection Covered under Tweed Coast Road 83(b),81(b),Turnock St and Tweed Coast Road Intersection Covered under Tweed Coast Road 83(b),Not Started,Preliminary Estimate,0,Yes,40,Extend Turnock Street toTweed Coast Road,New east-west link between south Kingscliff and Tweed Coast Rd. Completed in conjunction with Item 39.,,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,TWEED COAST,,Tweed Coast Road (Widening to 4 Lanes),82: Chinderah Motorway Interchange to Cudgen Road (Widen and strengthen),Chinderah Motorway Interchange to Cudgen Road (Widen and strengthen),82,Chinderah Motorway Interchange to Cudgen Road (Widen and strengthen),Commenced,Detailed Estimate,406800,Yes,35,Four-laning of Tweed CoastRoad,Pacific Motorway interchange to Tweed Coast Rd/ Casuarina Way intersection. Approx. 6.2km4-lane section.,,Existing
URBAN ROADS,SECTOR 6 - KINGSCLIFF,TWEED COAST,,Tweed Coast Road (Widening to 4 Lanes),82.1:   (cont.) Upgrade to 4 lanes,  (cont.) Upgrade to 4 lanes,82.1,  (cont.) Upgrade to 4 lanes,Not Started,Preliminary Estimate,4365792,Yes,35,Four-laning of Tweed CoastRoad,Pacific Motorway interchange to Tweed Coast Rd/ Casuarina Way intersection. Approx. 6.2km4-lane section.,,Existing
