Account Number,Plan Description,Balance,Plan Description,Sector Description ,DataDate,Activity Description,Plan,Activity,Sector,Sector Desc
23.04.04,Shirewide Carparking,-339996.55,23-Shirewide Carparking,Sector 4,26/08/2024,Parking,23,04,04,Sector 4
23.04.04,Shirewide Carparking,361819.19,23-Shirewide Carparking,Sector 4,26/08/2024,Parking,23,04,04,Sector 4
23.04.04,Shirewide Carparking,15414.42,23-Shirewide Carparking,Sector 4,26/08/2024,Parking,23,04,04,Sector 4
23.04.04,Shirewide Carparking,-687643.34,23-Shirewide Carparking,Sector 4,26/08/2024,Parking,23,04,04,Sector 4
23.04.05,Shirewide Carparking,-9328.73,23-Shirewide Carparking,Sector 5,26/08/2024,Parking,23,04,05,Sector 5
23.04.05,Shirewide Carparking,-31708.15,23-Shirewide Carparking,Sector 5,26/08/2024,Parking,23,04,05,Sector 5
23.04.05,Shirewide Carparking,-235371.26,23-Shirewide Carparking,Sector 5,26/08/2024,Parking,23,04,05,Sector 5
23.04.06,Shirewide Carparking,-440.81,23-Shirewide Carparking,Sector 6,26/08/2024,Parking,23,04,06,Sector 6
23.04.06,Shirewide Carparking,-31708.15,23-Shirewide Carparking,Sector 6,26/08/2024,Parking,23,04,06,Sector 6
23.04.06,Shirewide Carparking,-11122.02,23-Shirewide Carparking,Sector 6,26/08/2024,Parking,23,04,06,Sector 6
25.05.00,Salt Development,4293.75,25-Salt Development,No Sector,26/08/2024,Open Space,25,05,00,No Sector
25.05.00,Salt Development,-112628.5,25-Salt Development,No Sector,26/08/2024,Open Space,25,05,00,No Sector
25.05.00,Salt Development,108334.75,25-Salt Development,No Sector,26/08/2024,Open Space,25,05,00,No Sector
25.16.00,Salt Development,-46991.57,25-Salt Development,No Sector,26/08/2024,Structured Open Space,25,16,00,No Sector
25.16.00,Salt Development,112628.5,25-Salt Development,No Sector,26/08/2024,Structured Open Space,25,16,00,No Sector
25.16.00,Salt Development,-1185633.58,25-Salt Development,No Sector,26/08/2024,Structured Open Space,25,16,00,No Sector
26.15.00,Plan 26 Shirewide Open Space,-220475.81,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Casual Open Space,26,15,00,No Sector
26.15.00,Plan 26 Shirewide Open Space,-192325.99,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Casual Open Space,26,15,00,No Sector
26.15.00,Plan 26 Shirewide Open Space,436442.62,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Casual Open Space,26,15,00,No Sector
26.15.00,Plan 26 Shirewide Open Space,9616.3,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Casual Open Space,26,15,00,No Sector
26.15.00,Plan 26 Shirewide Open Space,-5466841.29,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Casual Open Space,26,15,00,No Sector
26.16.00,Plan 26 Shirewide Open Space,-93563.74,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Structured Open Space,26,16,00,No Sector
26.16.00,Plan 26 Shirewide Open Space,-668618.17,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Structured Open Space,26,16,00,No Sector
26.16.00,Plan 26 Shirewide Open Space,86361,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Structured Open Space,26,16,00,No Sector
26.16.00,Plan 26 Shirewide Open Space,33430.92,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Structured Open Space,26,16,00,No Sector
26.16.00,Plan 26 Shirewide Open Space,-2012204.57,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Structured Open Space,26,16,00,No Sector
27.16.00,Tweed Hds Masterplan & Streetscaping,-28465.24,27-Tweed Hds Masterplan & Streetscaping,No Sector,26/08/2024,Structured Open Space,27,16,00,No Sector
27.16.00,Tweed Hds Masterplan & Streetscaping,-718200,27-Tweed Hds Masterplan & Streetscaping,No Sector,26/08/2024,Structured Open Space,27,16,00,No Sector
28.15.00,Seaside City,-1845.37,28-Seaside City,No Sector,26/08/2024,Casual Open Space,28,15,00,No Sector
28.15.00,Seaside City,1845.37,28-Seaside City,No Sector,26/08/2024,Casual Open Space,28,15,00,No Sector
28.15.00,Seaside City,-56859.5,28-Seaside City,No Sector,26/08/2024,Casual Open Space,28,15,00,No Sector
28.16.00,Seaside City,-33391.62,28-Seaside City,No Sector,26/08/2024,Structured Open Space,28,16,00,No Sector
28.16.00,Seaside City,-1630.1,28-Seaside City,No Sector,26/08/2024,Structured Open Space,28,16,00,No Sector
28.16.00,Seaside City,163.01,28-Seaside City,No Sector,26/08/2024,Structured Open Space,28,16,00,No Sector
28.16.00,Seaside City,-842109.28,28-Seaside City,No Sector,26/08/2024,Structured Open Space,28,16,00,No Sector
32.02.00,Heavy Haulage,-60.48,32-Heavy Haulage,No Sector,26/08/2024,Roads,32,02,00,No Sector
32.02.00,Heavy Haulage,-6345,32-Heavy Haulage,No Sector,26/08/2024,Roads,32,02,00,No Sector
32.02.00,Heavy Haulage,-2985.35,32-Heavy Haulage,No Sector,26/08/2024,Roads,32,02,00,No Sector
32.02.00,Heavy Haulage,317.25,32-Heavy Haulage,No Sector,26/08/2024,Roads,32,02,00,No Sector
91.03.00,DCP14,0,91-DCP14,No Sector,26/08/2024,Traffic Facilities,91,03,00,No Sector
91.03.00,DCP14,0,91-DCP14,No Sector,26/08/2024,Traffic Facilities,91,03,00,No Sector
91.07.00,DCP14,0,91-DCP14,No Sector,26/08/2024,Footpath/Cycleway,91,07,00,No Sector
91.07.00,DCP14,0,91-DCP14,No Sector,26/08/2024,Footpath/Cycleway,91,07,00,No Sector
91.15.00,DCP14,0,91-DCP14,No Sector,26/08/2024,Casual Open Space,91,15,00,No Sector
91.15.00,DCP14,0,91-DCP14,No Sector,26/08/2024,Casual Open Space,91,15,00,No Sector
92.05.00,Public Reserve Contributions,0,92-Public Reserve Contributions,No Sector,26/08/2024,Open Space,92,05,00,No Sector
92.05.00,Public Reserve Contributions,0,92-Public Reserve Contributions,No Sector,26/08/2024,Open Space,92,05,00,No Sector
92.15.00,Public Reserve Contributions,0,92-Public Reserve Contributions,No Sector,26/08/2024,Casual Open Space,92,15,00,No Sector
92.15.00,Public Reserve Contributions,0,92-Public Reserve Contributions,No Sector,26/08/2024,Casual Open Space,92,15,00,No Sector
95.01.00,Bilambil Heights,0,95-Bilambil Heights,No Sector,26/08/2024,Drainage,95,01,00,No Sector
95.01.00,Bilambil Heights,0,95-Bilambil Heights,No Sector,26/08/2024,Drainage,95,01,00,No Sector
95.05.00,Bilambil Heights,0,95-Bilambil Heights,No Sector,26/08/2024,Open Space,95,05,00,No Sector
95.05.00,Bilambil Heights,0,95-Bilambil Heights,No Sector,26/08/2024,Open Space,95,05,00,No Sector
95.06.00,Bilambil Heights,0,95-Bilambil Heights,No Sector,26/08/2024,Community Facilities,95,06,00,No Sector
95.06.00,Bilambil Heights,0,95-Bilambil Heights,No Sector,26/08/2024,Community Facilities,95,06,00,No Sector
04.02.05,TRCP,-37328.73,04-TRCP,Sector 5,26/08/2024,Roads,04,02,05,Sector 5
04.02.06,TRCP,-4849.58,04-TRCP,Sector 6,26/08/2024,Roads,04,02,06,Sector 6
04.02.08,TRCP,-23556.14,04-TRCP,Sector 8,26/08/2024,Roads,04,02,08,Sector 8
04.02.09,TRCP,-15339.33,04-TRCP,Sector 9,26/08/2024,Roads,04,02,09,Sector 9
05.15.00,O/Space,-94.14,05-O/Space,No Sector,26/08/2024,Casual Open Space,05,15,00,No Sector
05.16.00,O/Space,-107.75,05-O/Space,No Sector,26/08/2024,Structured Open Space,05,16,00,No Sector
07.01.00,West K'Cliff,-2392.74,07-West K'Cliff,No Sector,26/08/2024,Drainage,07,01,00,No Sector
07.05.00,West K'Cliff,-218576.43,07-West K'Cliff,No Sector,26/08/2024,Open Space,07,05,00,No Sector
11.06.00,Libraries,-17907.21,11-Libraries,No Sector,26/08/2024,Community Facilities,11,06,00,No Sector
12.10.00,Bus Shelters,-1293.31,12-Bus Shelters,No Sector,26/08/2024,Bus Shelters,12,10,00,No Sector
13.11.00,Cemeteries,-2391.69,13-Cemeteries,No Sector,26/08/2024,Cemeteries,13,11,00,No Sector
15.06.00,Community Facilities,-31483.61,15-Community Facilities,No Sector,26/08/2024,Community Facilities,15,06,00,No Sector
18.13.00,Council Admin - Tech Support,-39507.31,18-Council Admin - Tech Support,No Sector,26/08/2024,Council Technical/Admin. Facilities,18,13,00,No Sector
22.07.00,Shirewide Cycleways,-9626.71,22-Shirewide Cycleways,No Sector,26/08/2024,Footpath/Cycleway,22,07,00,No Sector
26.15.00,Plan 26 Shirewide Open Space,-22223.21,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Casual Open Space,26,15,00,No Sector
26.16.00,Plan 26 Shirewide Open Space,-78002.91,26-Plan 26 Shirewide Open Space,No Sector,26/08/2024,Structured Open Space,26,16,00,No Sector
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
