site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 1,Acacia Street off Fraser Drive,"-28.196326,153.521904",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 1,Tweed Heads,RD.2.10.A.1,Acacia Street,Tweed Heads South
Site 225,Kings Street east of Factory Lane,"-28.329005, 153.397571",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 225,Murwillumbah,RD.690.10.A,King Street,Murwillumbah
Site 789,M.R.450 Coast Road north of Morton Street,"-28.246199, 153.554093",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 789,Chinderah,RD.2184.380.A.1,Tweed Coast Road,Chinderah
Site 2,ADVOCATE PLACE off  LEISURE DRIVE,"-28.213559, 153.535877",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 2,Banora Point,RD.7.10.A,Advocate Place,Banora Point
Site 544,Minjungbal Drive south of Shallow Bay Drive,"-28.206619, 153.544616",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 544,Tweed Heads,RD.827.25.B,Minjungbal Drive,Tweed Heads South
Site 340,Minjungbal Drive south of Boyds Bay Bridge,"-28.186519,153.53938",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 340,Tweed Heads,RD.827.120.C,Minjungbal Drive,Tweed Heads South
Site 3,AMAROO DRIVE off FRASER DRIVE,"-28.223984, 153.526767",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 3,Banora Point,RD.23.40.A.2,Amaroo Drive,Banora Point
Site 633,Dulguigan Road at No 809,"-28.266115,153.447459",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 633,North Tumbulgum,RD.422.120.A,Dulguigan Road,North Tumbulgum
Site 761,Charles Street at No 27 Murwillumbah,"-28.179862,153.535893",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 761,Tweed Heads,RD.249.30.A,Charles Street,Tweed Heads
Site 4,AMAROO DRIVE at No 4,"-28.223844, 153.530252",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 4,Banora Point,RD.23.10.A,Amaroo Drive,Banora Point
Site 412,Riverside Drive at No 88,"-28.2733046155346,153.461713015184",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 412,Tumbulgum,RD.1124.40.A.1,Riverside Drive,Tumbulgum
Site 101,CRABS CREEK ROAD off TWEED VALLEY WAY M.R.679,"-28.456924, 153.498308",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 101,Crabbes Creek,RD.355.10.A,Crabbes Creek Road,Crabbes Creek
Site 5,AMBER ROAD off MACHINERY DRIVE,"-28.202272, 153.541354",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 5,Tweed Heads,RD.24.10.A,Amber Road,Tweed Heads South
Site 102,CRABS CREEK ROAD at No 38,"-28.456044, 153.4948",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 102,Crabbes Creek,RD.355.15.A.1,Crabbes Creek Road,Crabbes Creek
Site 103,CRANNEYS ROAD off HOGAN'S ROAD,"-28.255453, 153.442399",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 103,North Tumbulgum,RD.605.30.A,Hogans Road,Upper Duroby
Site 6,AMBER ROAD north of INDUSTRY DRIVE,"-28.200565, 153.541631",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 6,Tweed Heads,RD.24.10.A,Amber Road,Tweed Heads South
Site 104,CREEK STREET at No 2,"-28.35667, 153.573044",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 104,Hastings Point,RD.358.10.A,Creek Street,Hastings Point
Site 105,CRESCENT STREET off TWEED COAST ROAD,"-28.258113, 153.558794",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 105,Cudgen,RD.359.40.A,Crescent Street,Cudgen
Site 7,ANNE STREET west of OVERALL DRIVE,"-28.391936, 153.564638",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 7,Pottsville,RD.32.10.A,Anne Street,Pottsville
Site 106,CRESCENT STREET at No 9,"-28.263076, 153.557188",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 106,Cudgen,RD.359.10.A,Crescent Street,Cudgen
Site 107,CUDGEN ROAD east of TWEED VALLEY WAY,"-28.275233, 153.508951",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 107,Stotts Creek,RD.365.180.A,Cudgen Road,Stotts Creek
Site 8,ASH DRIVE off DARLINGTON DRIVE,"-28.218963, 153.532113",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 8,Banora Point,RD.38.60.A,Ash Drive,Banora Point
Site 108,CUDGEN ROAD north of DURANBAH ROAD,"-28.280183, 153.522598",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 108,Duranbah,RD.365.130.A,Cudgen Road,Duranbah
Site 109,CUDGEN ROAD west of CRESCENT STREET,"-28.264008, 153.556673",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 109,Cudgen,RD.365.80.A,Cudgen Road,Cudgen
Site 9,BEACH STREET west of KINGSCLIFF STREET,"-28.25036, 153.5696",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 9,Kingscliff,RD.91.20.A,Beach Street,Kingscliff
Site 11,BANKSIA  AVE west of HASTINGS ROAD,"-28.334286, +153.569848",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 11,Bogangar,RD.72.20.A,Banksia Avenue,Bogangar
Site 111,CUDGEN ROAD at TAFE COLLEGE Special,"-28.263988, 153.556725",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 111,Cudgen,RD.365.70.A,Cudgen Road,Cudgen
Site 10,BEACH STREET east of KINGSCLIFF STREET,"-28.250158,153.570424",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 10,Kingscliff,RD.91.10.A,Beach Street,Kingscliff
Site 112,CUDGEN ROAD east of TARFFIC LIGHTS (SLSC),"-28.266923, 153.563346",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 112,Cudgen,RD.365.45.A,Cudgen Road,Cudgen
Site 113,CUDGERA AVENUE west of the SCHOOL,"-28.376212, 153.566902",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 113,Pottsville,RD.369.20.A,Cudgera Avenue,Pottsville
Site 114,CUDGERA  CREEK ROAD west of MOTORWAY,"-28.389653, 153.521409",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 114,Cudgera Creek,RD.371.110.A,Cudgera Creek Road,Cudgera Creek
Site 115,CUDGERA  CREEK ROAD west of RESERVE CK ROAD,"-28.390794, 153.51582",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 115,Cudgera Creek,RD.371.85.A,Cudgera Creek Road,Cudgera Creek
Site 12,BANKSIA  AVE near No 15,"-28.33426, 153.568057",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 12,Bogangar,RD.72.20.A,Banksia Avenue,Bogangar
Site 116,CUNNINGHAM STREET east of PROWSE STREET,"-28.193377, 153.535237",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 116,Tweed Heads,RD.378.25.A,Cunningham Street,Tweed Heads South
Site 117,DARLINGTON DRIVE north of LAURA STREET,"-28.215231, 153.546729",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 117,Banora Point,RD.730.10.A.1,Laura Street,Banora Point
Site 13,BANORA HILLS DRIVE just off TERRANORA ROAD,"-28.225759, 153.543816",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 13,Banora Point,RD.76.10.B,Banora Hills Drive,Banora Point
Site 118,DARLINGTON DRIVE north of LEISURE DRIVE,"-28.213687, 153.542349",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 118,Banora Point,RD.388.15.C,Darlington Drive,Banora Point
Site 119,DARLINGTON DRIVE south of LEISURE - DARLINGTON DRIVE,"-28.215394, 153.542021",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 119,Banora Point,RD.388.20.A.1,Darlington Drive,Banora Point
Site 14,BANORA HILLS DRIVE near No 3,"-28.225759, 153.543816",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 14,Banora Point,RD.76.10.B,Banora Hills Drive,Banora Point
Site 121,DARLINGTON DRIVE south of AMAROO DRIVE,"-28.221394, 153.533583",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 121,Banora Point,RD.388.100.A,Darlington Drive,Banora Point
Site 15,BARNBY STREET sth of BAKER STREET,"-28.330278, 153.381814",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 15,Murwillumbah,RD.81.10.A,Barnby Street,Murwillumbah
Site 123,DARLINGTON DRIVE north of AMAROO DRIVE,"-28.220522, 153.532753",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 123,Banora Point,RD.388.100.A,Darlington Drive,Banora Point
Site 124,DARLINGTON DRIVE south of CROMER COURT,"-28.213875, 153.533566",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 124,Banora Point,RD.388.120.A,Darlington Drive,Banora Point
Site 16,BARNBY STREET sth of FRANCES STREET,"-28.325419, 153.382684",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 16,Murwillumbah,RD.81.40.A,Barnby Street,Murwillumbah
Site 125,DIANELLA DRIVE off M.R.450 Special,"-28.213799, 153.53358",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 125,Banora Point,RD.388.120.A,Darlington Drive,Banora Point
Site 126,DIANELLA DRIVE off M.R.450,"-28.295763, 153.5698",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 126,Casuarina,RD.398.20.A,Dianella Drive,Casuarina
Site 17,BARNEYS PT BRIDGE beyond BARNEYS PT BRIDGE Special,"-28.224776,153.555342",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 17,Banora Point,RD.2631.10.A,Barneys Point Road,Banora Point
Site 127,DOON DOON ROAD off KYOGLE ROAD M.R.142,"-28.463721, 153.267328",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 127,Kunghur,RD.407.10.A,Doon Doon Road,Kunghur
Site 18,BARRETT STREET just off KENNEDY DRIVE,"-28.187177, 153.523357",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 18,Tweed Heads,RD.84.20.A,Barrett Street,Tweed Heads West
Site 128,DOON DOON ROAD AT No 574,"-28.487295, 153.299703",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 128,Doon Doon,RD.407.80.A,Doon Doon Road,Doon Doon
Site 129,DOON DOON ROAD past COSTELLO'S ROAD,"-28.505587, 153.305865",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 129,Doon Doon,RD.407.120.A,Doon Doon Road,Doon Doon
Site 19,BARTLETTS ROAD off TWEED VALLEY WAY,"-28.295561, 153.460799",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 19,Eviron,RD.86.10.A,Bartletts Road,Eviron
Site 131,DOYLE DRIVE off GREENWAY DRIVE,"-28.210185, 153.535382",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 131,Banora Point,RD.416.10.A,Doyle Drive,Banora Point
Site 20,BASALT LANE about halfway along,"-28.200362,153.542659",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 20,Tweed Heads,RD.1507.10.A,Basalt Lane,Tweed Heads South
Site 132,DRY DOCK ROAD at No 24,"-28.189501, 153.538559",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 132,Tweed Heads,RD.418.20.A,Dry Dock Road,Tweed Heads South
Site 133,DRY DOCK ROAD at No 130,"-28.193181, 153.525281",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 133,Tweed Heads,RD.418.60.A.1,Dry Dock Road,Tweed Heads South
Site 21,BAY STREET west of WHARF STREET,"-28.17098, 153.542653",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 21,Tweed Heads,RD.90.30.B,Bay Street,Tweed Heads
Site 134,DUCAT STREET at No 97,"-28.184963, 153.526168",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 134,Tweed Heads,RD.419.10.A.1,Ducat Street,Tweed Heads
Site 135,DULGUIGAN ROAD off TOMEWIN ROAD M.R.143,"-28.29156, 153.385898",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 135,Kynnumboon,RD.422.260.A.1,Dulguigan Road,Urliup
Site 22,BAY STREET east of WHARF STREET,"-28.171218, 153.544019",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 22,Tweed Heads,RD.90.20.B.1,Bay Street,Tweed Heads
Site 136,DULGUIGAN ROAD south of QUARRY,"-28.27928, 153.43226",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 136,Dulguigan,RD.422.160.A,Dulguigan Road,Dulguigan
Site 137,DULGUIGAN ROAD at No 1039,"-28.270654, 153.461518",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 137,North Tumbulgum,RD.422.40.A,Dulguigan Road,North Tumbulgum
Site 23,BELTANA DRIVE off BILAMBIL ROAD.,"-28.234777, 153.483573",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 23,Bilambil,RD.99.10.A,Beltana Drive,Bilambil
Site 138,DULGUIGAN ROAD off TERRANORA ROAD M.R. 541,"-28.269441, 153.470465",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 138,North Tumbulgum,RD.422.10.A,Dulguigan Road,North Tumbulgum
Site 139,DUNGAY CK ROAD off M.R.143 TOMEWIN ROAD,"-28.283884, 153.374021",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 139,Upper Dungay,RD.427.10.A,Dungay Creek Road,Dungay
Site 24,BERYL STREET nth of FLORENCE STREET,"-28.175311, 153.540841",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 24,Tweed Heads,RD.107.10.A.1,Beryl Street,Tweed Heads
Site 141,DURANBAH ROAD off CUDGEN ROAD,"-28.281937, 153.52175",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 141,Duranbah,RD.429.10.A,Duranbah Road,Duranbah
Site 25,BILAMBIL ROAD up from SCHOOL,"-28.222171, 153.469391",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 25,Bilambil,RD.110.100.A,Bilambil Road,Bilambil Heights
Site 142,DURANBAH ROAD at No 101,"-28.286511, 153.519936",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 142,Duranbah,RD.429.20.A,Duranbah Road,Duranbah
Site 143,DURANBAH ROAD at No 202,"-28.293981, 153.518851",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 143,Duranbah,RD.429.40.A,Duranbah Road,Duranbah
Site 26,BILAMBIL ROAD BILAMBIL SPORTS GROUND,"-28.227089, 153.467109",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 26,Bilambil,RD.110.80.A,Bilambil Road,Bilambil
Site 144,DURANBAH ROAD at No 213,"-28.295677, 153.519073",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 144,Duranbah,RD.429.50.A,Duranbah Road,Duranbah
Site 145,DURANBAH ROAD east of EVIRON ROAD,"-28.302657, 153.520749",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 145,Duranbah,RD.429.70.A,Duranbah Road,Duranbah
Site 27,BILAMBIL ROAD north of GLADIOLI AVE,"-28.243219, 153.490685",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 27,Terranora,RD.110.20.A,Bilambil Road,Terranora
Site 146,EAGLEMONT DRIVE at No 4,"-28.235752, 153.503474",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 146,Terranora,RD.438.10.A,Eaglemont Drive,Terranora
Site 28,BILAMBIL ROAD near BAANYA PLACE,"-28.231046, 153.474057",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 28,Bilambil,RD.110.60.A,Bilambil Road,Bilambil
Site 147,EASTLAKES DRIVE at No 2,"-28.205779, 153.549248",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 147,Tweed Heads,RD.439.10.A,Eastlakes Drive,Tweed Heads South
Site 148,EDEN STREET down hill section,"-28.205815, 153.549279",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 148,Tweed Heads,RD.439.10.A,Eastlakes Drive,Tweed Heads South
Site 29,BIMBADEEN AVENUE at No 8,"-28.224283, 153.551697",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 29,Banora Point,RD.113.20.A,Bimbadeen Avenue,Banora Point
Site 149,ELANORA AVENUE south of ELFRAN AVE,"-28.379929, 153.569341",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 149,Pottsville,RD.448.30.A,Elanora Avenue,Pottsville
Site 30,BIONE AVENUE off OYSTER PT ROAD,"-28.215671,153.551826",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 30,Banora Point,RD.115.10.A,Bione Avenue,Banora Point
Site 151,ELROND DRIVE south of BEACH STREET,"-28.257728, 153.569109",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 151,Kingscliff,RD.458.10.A,Elrond Drive,Kingscliff
Site 152,ENID STREET at No 50,"-28.175008, 153.539831",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 152,Tweed Heads,RD.463.10.A.1,Enid Street,Tweed Heads
Site 31,BIONE AVENUE in front of No28,"-28.217026, 153.549296",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 31,Banora Point,RD.115.20.A,Bione Avenue,Banora Point
Site 153,EUCALYPTUS DRIVE south of LEISURE DRIVE,"-28.215052, 153.525643",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 153,Banora Point,RD.466.10.A,Eucalyptus Drive,Banora Point
Site 154,EVIRON ROAD off CLOTHIERS CK RD,"-28.310727, 153.446789",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 154,Eviron,RD.474.190.A,Eviron Road,Eviron
Site 32,BLACKWOODS ROAD off NUMINBAH ROAD,"-28.319554, 153.348226",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 32,Nobbys Creek,RD.121.10.A,Blackwoods Road,Nobbys Creek
Site 155,EVIRON ROAD at CEMETERY (northern end),"-28.305817, 153.518113",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 155,Duranbah,RD.474.20.A,Eviron Road,Duranbah
Site 156,EWING STREET at No 37,"-28.32293, 153.40068",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 156,Murwillumbah,RD.478.20.A,Ewing Street,Murwillumbah
Site 33,BOOMERANG STREET off SEAVIEW STREET,"-28.257737, 153.57757",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 33,Kingscliff,RD.134.10.A,Boomerang Street,Kingscliff
Site 157,FACTORY LANE north of KING STREET,"-28.328879, 153.397479",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 157,Murwillumbah,RD.1691.20.A,Factory Lane,Murwillumbah
Site 158,FARRANT'S ROAD off EVIRON ROAD,"-28.311507, 153.497883",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 158,Eviron,RD.483.60.A,Farrants Road,Eviron
Site 34,BOTANICAL CIRCUIT at No 165,"-28.21296, 153.517827",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 34,Banora Point,RD.146.80.A,Botanical Circuit,Banora Point
Site 159,FARRANT'S ROAD CLOTHIERS CK ROAD,"-28.325952, 153.474518",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 159,Farrants Hill,RD.483.10.A,Farrants Road,Eviron
Site 35,BOUNDARY STREET east of TWIN TOWNS R.S.L,"-28.167148, 153.546046",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 35,Tweed Heads,RD.153.30.A,Boundary Street,Tweed Heads
Site 161,FEDERATION DRIVE at No 18,"-28.239205, 153.497445",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 161,Terranora,RD.488.10.A,Federation Drive,Terranora
Site 162,FIRESTONE DRIVE off LEISURE DRIVE,"-28.213897, 153.527869",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 162,Banora Point,RD.495.10.A,Firestone Drive,Banora Point
Site 36,BOYD STREET north of WHARF STREET,"-28.179893, 153.539479",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 36,Tweed Heads,RD.155.10.A.1,Boyd Street,Tweed Heads
Site 163,FINGAL ROAD north of CHINDERAH BAY DRIVE Special,"-28.224581, 153.557488",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 163,Fingal,RD.493.10.A.1,Fingal Road,Fingal Head
Site 37,BOYD STREET at No 9 Boyd Street,"-28.176325, 153.540103",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 37,Tweed Heads,RD.155.20.A,Boyd Street,Tweed Heads
Site 164,FINGAL ROAD north of CHINDERAH BAY DRIVE,"-28.224648, 153.557427",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 164,Fingal,RD.493.10.A.1,Fingal Road,Fingal Head
Site 165,FINGAL ROAD off ramp from MOTORWAY,"-28.22601, 153.557566",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 165,Chinderah,RD.493.05.R,Fingal Road,Fingal Head
Site 38,BRAYS CK ROAD south of TYALGUM,"-28.360443, 153.207167",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 38,Tyalgum,RD.164.20.A,Brays Creek Road,Tyalgum
Site 166,FLORIN LANE west of MYRTLE STREET,"-28.330357, 153.388905",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 166,Murwillumbah,RD.507.10.A,Florin Lane,Murwillumbah
Site 167,FLORENCE STREET at No 17,"-28.175417, 153.539171",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 167,Tweed Heads,RD.506.40.A,Florence Street,Tweed Heads
Site 39,BRETT STREET east of WHARF STREET,"-28.177888, 153.542005",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 39,Tweed Heads,RD.167.15.A,Brett Street,Tweed Heads
Site 168,FLORENCE STREET at No 29,"-28.17568, 153.541047",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 168,Tweed Heads,RD.506.30.A,Florence Street,Tweed Heads
Site 169,FRANCES STREET east of WHARF STREET,"-28.173685, 153.54341",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 169,Tweed Heads,RD.514.30.B,Frances Street,Tweed Heads
Site 40,BRISBANE STREET north of CONDONG STREET,"-28.330682,153.395241",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 40,Murwillumbah,RD.170.20.A,Brisbane Street,Murwillumbah
Site 171,FRASER DRIVE at No 25,"-28.197924, 153.522044",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 171,Tweed Heads,RD.518.110.A,Fraser Drive,Tweed Heads South
Site 41,BROADWATER ESP. just off TERRANORA PARADE,"-28.213829, 153.490408",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 41,Bilambil Heights,RD.172.70.A,Broadwater Esplanade,Bilambil Heights
Site 172,FRASER DRIVE north of VINTAGE LAKES DRIVE,"-28.205598, 153.521715",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 172,Tweed Heads,RD.518.90.A.1,Fraser Drive,Tweed Heads South
Site 173,FRASER DRIVE north of LEISURE DRIVE,"-28.211929, 153.523233",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 173,Tweed Heads South,RD.518.70.A,Fraser Drive,Tweed Heads South
Site 42,BUCKINGHAM DRIVE east of EDWARD AVENUE,"-28.402833, 153.559816",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 42,Pottsville,RD.184.10.A,Buckingham Drive,Pottsville
Site 174,FRASER DRIVE south of LEISURE DRIVE,"-28.215544, 153.52214",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 174,Banora Point,RD.518.50.A,Fraser Drive,Banora Point
Site 175,FRASER DRIVE off TERANORA ROAD,"-28.232443, 153.526656",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 175,Banora Point,RD.518.10.A,Fraser Drive,Banora Point
Site 43A,BURRINGBAR ROAD off TWEED VALLEY WAY M.R.679,"-28.434145, 153.471957",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 43A,Burringbar,RD.173.10.A,Broadway,Burringbar
Site 176,GRASS  TREE CIRCUIT at No 12,"-28.341777, 153.568668",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 176,Bogangar,RD.551.10.A,Grass Tree Circuit,Bogangar
Site 177,GRAY STREET off KENNEDY DRIVE,"-28.187663, 153.519009",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 177,Tweed Heads,RD.554.10.A,Gray Street,Tweed Heads West
Site 43B,BROADWAY at No 5,"-28.434145,153.471957",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 43B,Burringbar,RD.173.10.A,Broadway,Burringbar
Site 178,GREENWAY DRIVE north of DARLINGTON DRIVE (north of Leisure Dr),"-28.212012, 153.53429",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 178,Banora Point,RD.558.50.A.1,Greenway Drive,Banora Point
Site 179,GREENWAY DRIVE under Motor Way,"-28.202997, 153.535998",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 179,Tweed Heads,RD.558.10.A,Greenway Drive,Tweed Heads South
