site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 523,NORCO STREET western side of CENOTAPH,"-28.413996, 153.335578",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 523,Uki,RD.1885.10.A,Norco Street,Uki
Site 525,MARINE PARADE at No 100 (Pub),"-28.255395, 153.576406",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 525,Kingscliff,RD.777.40.A,Marine Parade,Kingscliff
Site 526,SUTHERLAND STREET at No 2,"-28.25758, 153.57863",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 526,Kingscliff,RD.1258.10.A,Sutherland Street,Kingscliff
Site 329M-TN,"S.H.10 Pacific Mway north of Wooyung Rd, Mooball","-28.445612,153.502786",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 329M-TN,Mooball,RD.2194.9020.A,Tweed Valley Way,Mooball
Site 527,SEAVIEW STREET at No 4,"-28.257058, 153.578046",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 527,Kingscliff,RD.1179.30.A,Seaview Street,Kingscliff
Site 528,TURNOCK STREET east of PEARL STREET,"-28.254823, 153.575067",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 528,Kingscliff,RD.1340.10.A,Turnock Street,Kingscliff
Site 330,MCALLISTERS ROAD at No 1,"-28.215326, 153.483058",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 330,Bilambil Heights,RD.792.10.A,McAllisters Road,Bilambil Heights
Site 531,CANE ROAD west of McLEOD STREET,"-28.315563, 153.433538",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 531,Condong,RD.211.10.A,Cane Road,Condong
Site 532B,PIONEER PARADE at No 82,"-28.221059, 153.545209",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 532B,Banora Point,RD.1044.40.A,Pioneer Parade,Banora Point
Site 533,PIONEER PARADE at No 64,"-28.218557, 153.545798",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 533,Banora Point,RD.1044.50.A,Pioneer Parade,Banora Point
Site 534,PIONEER PARADE at No38,"-28.216345, 153.545807",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 534,Banora Point,RD.1044.67.A,Pioneer Parade,Banora Point
Site 535,WATERFERN PLACE off BARNBY STREET,"-28.328311, 153.381542",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 535,Murwillumbah,RD.2398.10.A,Waterfern Place,South Murwillumbah
Site 536,WOOYUNG ROAD east of TEA TREE ROAD,"-28.45556, 153.541199",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 536,Wooyung,RD.1443.100.A,Wooyung Road,Wooyung
Site 537,M.R.679 Tweed Valley Way at No 413,"-28.338672, 153.400964",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 537,South Murwillumbah,RD.2194.9205.A,Tweed Valley Way,South Murwillumbah
Site 538,SUTHERLAND STREET at No 48,"-28.259678, 153.579793",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 538,Kingscliff,RD.1258.20.A,Sutherland Street,Kingscliff
Site 539,VINTAGE LAKES DR. at No 40,"-28.208597, 153.518764",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 539,Tweed Heads South,RD.1382.20.A,Vintage Lakes Drive,Tweed Heads South
Site 541,KENNEDY DRIVE east of McDONALD STREET,"-28.185323, 153.533607",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 541,Tweed Heads,RD.675.20.A,Kennedy Drive,Tweed Heads
Site 542,WOMMIN BAY ROAD east of SAND STREET,"-28.238293, 153.564887",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 542,Kingscliff,RD.1437.20.A.1,Wommin Bay Road,Kingscliff
