PLAN,DESCRIPTION,APPLICATION_REFERENCE,APPLICATION_NO,chargeAcPrefix,chargeAc,chargeAmount,VALUEFIRST,VALUEFIRST_LABEL,VALUE1_LABEL,VALUE1,VALUE2_LABEL,VALUE2,VALUE3_LABEL,VALUE3,VALUE4_LABEL,VALUE4,LikelyExpired,PROPERTY_NO,Purpose,transAcPrefix,transAc,transAmount
S94-05,S94-05 - Casual Open Space (Local),DA04/1129,410243,ZFRI,ZFRInfrastructure,3068,2.9228,ET (Structured),ET (Structured),2.9228,ET (Casual),2.9162,,,,,Expired,19767,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA04/1135,410342,ZFRI,ZFRInfrastructure,9120,2,ET (Structured),ET (Structured),2,ET (Casual),2,,,,,Expired,17093,Open Space,ZFDC,ZFDCCasualOS_5,-624
S94-05,S94-05 - Casual Open Space (Local),DA04/1148,410498,ZFRI,ZFRInfrastructure,1141,6.8456,ET (Structured),ET (Structured),6.8456,ET (Casual),6.8324,,,,,Expired,18527,Open Space,ZFDC,ZFDCCasualOS_5,-1141
S94-05,S94-05 - Casual Open Space (Local),DA04/1156,410566,ZFRI,ZFRInfrastructure,538,,ET (Structured),ET (Structured),,ET (Casual),3.2241,,,,,Expired,16302,Open Space,ZFDC,ZFDCCasualOS_5,-538
S94-05,S94-05 - Casual Open Space (Local),DA04/1167,410641,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,21400,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA04/1210,411068,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,10559,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA04/1288,411788,ZFRI,ZFRInfrastructure,378,2.269,ET (Structured),ET (Structured),2.269,ET (Casual),2.2635,,,,,Expired,10810,Open Space,ZFDC,ZFDCCasualOS_5,-378
S94-05,S94-05 - Casual Open Space (Local),DA04/1300,411895,ZFRI,ZFRInfrastructure,2534,1.9231,ET (Structured),ET (Structured),1.9231,ET (Casual),1.9222,,,,,Expired,105040,Open Space,ZFDC,ZFDCCasualOS_5,-1267
S94-05,S94-05 - Casual Open Space (Local),DA04/1337,412315,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,12200,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA04/1339,412353,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,27981,Open Space,ZFDC,ZFDCCasualOS_5,-167
