Ledger,Account,Plan,Activity,Sector,Month Num,Month Text,Month,Fiscal Month,Date,Doc Type,Amount,DataDate,,,,,
DC01ACT,45000,04,Roads,Sector 13,2,Feb,08-Feb,8,28/02/2001,GLJNLOP,-45127.5,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 13,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-175,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 13,5,May,11-May,11,31/05/2001,GLJNLOP,-3487,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 13,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-40951.28,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 14,7,Jul,01-Jul,1,31/07/2000,GLJNLOP,-3792,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 14,2,Feb,08-Feb,8,28/02/2001,GLJNLOP,-8169.5,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 14,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-38790.3,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 14,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-932.58,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 14,5,May,11-May,11,31/05/2001,GLJNLOP,-124702,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-1059,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-45855,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-2829,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,19829.2,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-29652,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-19036.7,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-6702,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-15090,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-2118,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-4814,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-14442,45530.00,,,,,
DC01ACT,45020,01,Open Space,No Sector,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-182912,45530.00,,,,,
DC01ACT,45005,02,Drainage,No Sector,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-14102.1,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 15,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-34776,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 18,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-5041,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 18,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-655,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 19,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-2651,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 19,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-2282.1,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 20,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,-448,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 20,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-3370,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 21,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-3700.6,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 21,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-2227,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 21,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,1608.34,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 21,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-5899,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 22,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-1591,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 22,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-1989,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 22,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-26330,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 23,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-550,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 24,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-1774,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 24,2,Feb,08-Feb,8,28/02/2001,GLJNLOP,-4819.2,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 1,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-1189,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 1,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-453,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 1,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-2378,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 1,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-906,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 1,5,May,11-May,11,31/05/2001,GLJNLOP,-3244,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 1,5,May,11-May,11,31/05/2001,GLJNLOP,-1236,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 1,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-220,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 1,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-84,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,-2407,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,-1059,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-2407,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-1059,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-983,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-249,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-2407,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-1059,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-2407,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 2,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-1059,45530.00,,,,,
DC01ACT,45005,07,Drainage,No Sector,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,9374.67,45530.00,,,,,
DC01ACT,45005,07,Drainage,No Sector,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,5000,45530.00,,,,,
DC01ACT,45015,97,Parking,No Sector,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,-52500,45530.00,,,,,
DC01ACT,45000,99,Roads,Sector 1,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-704,45530.00,,,,,
DC01ACT,45000,99,Roads,Sector 10,7,Jul,01-Jul,1,31/07/2000,GLJNLOP,-8280,45530.00,,,,,
DC01ACT,45025,03,Community Facilities,No Sector,7,Jul,01-Jul,1,31/07/2000,GLJNLOP,-5126,45530.00,,,,,
DC01ACT,45025,03,Community Facilities,No Sector,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,-265,45530.00,,,,,
DC01ACT,45025,03,Community Facilities,No Sector,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-18983.6,45530.00,,,,,
DC01ACT,45025,03,Community Facilities,No Sector,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-1036.4,45530.00,,,,,
