Ledger,Account,Plan,Activity,Sector,Month Num,Month Text,Month,Fiscal Month,Date,Doc Type,Amount,DataDate,,,,,
DC05ACT,45000,04,Roads,Sector 8,2,Feb,08-Feb,8,17/02/2005,RECEIPT,-3370,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,7,Jul,01-Jul,1,13/07/2004,RECEIPT,-3872,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,7,Jul,01-Jul,1,19/07/2004,RECEIPT,-3872,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,10,Oct,04-Oct,4,13/10/2004,RECEIPT,-1936,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,11,Nov,05-Nov,5,30/11/2004,RECEIPT,-1936,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,12,Dec,06-Dec,6,16/12/2004,RECEIPT,-28730,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,2,Feb,08-Feb,8,01/02/2005,GLJNLOP,-4504,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,3,Mar,09-Mar,9,17/03/2005,RECEIPT,-8978,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,4,Apr,10-Apr,10,08/04/2005,RECEIPT,-1936,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,4,Apr,10-Apr,10,11/04/2005,RECEIPT,-8221,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,4,Apr,10-Apr,10,29/04/2005,GLJNLOP,-20150,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,5,May,11-May,11,02/05/2005,APINVPMT,20105,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,5,May,11-May,11,03/05/2005,RECEIPT,-20105,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,5,May,11-May,11,16/05/2005,RECEIPT,-1936,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,5,May,11-May,11,20/05/2005,RECEIPT,-8421,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,5,May,11-May,11,25/05/2005,RECEIPT,-1936,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 9,5,May,11-May,11,27/05/2005,RECEIPT,-1936,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 10,8,Aug,02-Aug,2,04/08/2004,RECEIPT,-21185,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 10,11,Nov,05-Nov,5,17/11/2004,RECEIPT,-2394,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 10,12,Dec,06-Dec,6,14/12/2004,RECEIPT,-5528.25,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 10,3,Mar,09-Mar,9,10/03/2005,RECEIPT,-9576,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 10,4,Apr,10-Apr,10,06/04/2005,RECEIPT,-2394,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 10,5,May,11-May,11,16/05/2005,RECEIPT,-1105,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 12,9,Sep,03-Sep,3,13/09/2004,RECEIPT,-14192,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 12,9,Sep,03-Sep,3,24/09/2004,RECEIPT,-360,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 12,11,Nov,05-Nov,5,05/11/2004,RECEIPT,-1594.42,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 12,1,Jan,07-Jan,7,06/01/2005,RECEIPT,-3710,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 12,2,Feb,08-Feb,8,25/02/2005,RECEIPT,-7096,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 12,3,Mar,09-Mar,9,10/03/2005,RECEIPT,-7096,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 13,9,Sep,03-Sep,3,21/09/2004,RECEIPT,-9040.76,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 13,10,Oct,04-Oct,4,12/10/2004,RECEIPT,-10824,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 13,10,Oct,04-Oct,4,15/10/2004,RECEIPT,-172.24,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 13,10,Oct,04-Oct,4,21/10/2004,RECEIPT,-10824,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 13,12,Dec,06-Dec,6,22/12/2004,RECEIPT,-10824,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 13,3,Mar,09-Mar,9,08/03/2005,RECEIPT,-10824,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 13,3,Mar,09-Mar,9,29/03/2005,RECEIPT,-10824,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 13,4,Apr,10-Apr,10,11/04/2005,RECEIPT,-10824,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,7,Jul,01-Jul,1,05/07/2004,RECEIPT,-2397,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,8,Aug,02-Aug,2,24/08/2004,RECEIPT,-2394,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,9,Sep,03-Sep,3,10/09/2004,RECEIPT,-62244,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,9,Sep,03-Sep,3,16/09/2004,RECEIPT,-2394,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,10,Oct,04-Oct,4,01/10/2004,RECEIPT,-29686,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,11,Nov,05-Nov,5,12/11/2004,RECEIPT,-17716,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,3,Mar,09-Mar,9,04/03/2005,RECEIPT,-2394,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,4,Apr,10-Apr,10,11/04/2005,RECEIPT,-2394,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,5,May,11-May,11,04/05/2005,RECEIPT,-124488,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 26,6,Jun,12-Jun,12,23/06/2005,RECEIPT,-134065,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 27,12,Dec,06-Dec,6,17/12/2004,RECEIPT,-2771,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,7,Jul,01-Jul,1,22/07/2004,RECEIPT,-8700,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,8,Aug,02-Aug,2,06/08/2004,RECEIPT,-580,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,8,Aug,02-Aug,2,24/08/2004,CHARGE,-5800,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,9,Sep,03-Sep,3,02/09/2004,RECEIPT,-580,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,9,Sep,03-Sep,3,30/09/2004,RECEIPT,-580,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,11,Nov,05-Nov,5,08/11/2004,RECEIPT,-580,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,12,Dec,06-Dec,6,01/12/2004,RECEIPT,-51620,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,12,Dec,06-Dec,6,07/12/2004,RECEIPT,-15080,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,1,Jan,07-Jan,7,17/01/2005,RECEIPT,-580,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,2,Feb,08-Feb,8,01/02/2005,RECEIPT,-44660,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,2,Feb,08-Feb,8,17/02/2005,RECEIPT,-580,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 29,5,May,11-May,11,12/05/2005,RECEIPT,-580,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,7,Jul,01-Jul,1,05/07/2004,RECEIPT,-554,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,8,Aug,02-Aug,2,24/08/2004,RECEIPT,-554,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,9,Sep,03-Sep,3,10/09/2004,RECEIPT,-14404,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,9,Sep,03-Sep,3,16/09/2004,RECEIPT,-554,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,10,Oct,04-Oct,4,01/10/2004,RECEIPT,-6870,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,11,Nov,05-Nov,5,12/11/2004,RECEIPT,-4100,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,1,Jan,07-Jan,7,11/01/2005,RECEIPT,-554,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,3,Mar,09-Mar,9,04/03/2005,RECEIPT,-554,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,4,Apr,10-Apr,10,11/04/2005,RECEIPT,-554,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,5,May,11-May,11,04/05/2005,RECEIPT,-28808,45530.00,,,,,
DC05ACT,45000,04,Roads,Sector 30,6,Jun,12-Jun,12,23/06/2005,RECEIPT,-31024,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,7,Jul,01-Jul,1,07/07/2004,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,7,Jul,01-Jul,1,08/07/2004,RECEIPT,-916,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,7,Jul,01-Jul,1,13/07/2004,RECEIPT,-712,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,7,Jul,01-Jul,1,19/07/2004,RECEIPT,-102,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,7,Jul,01-Jul,1,21/07/2004,RECEIPT,-102,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,7,Jul,01-Jul,1,26/07/2004,RECEIPT,-334,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,8,Aug,02-Aug,2,06/08/2004,RECEIPT,-5601,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,8,Aug,02-Aug,2,23/08/2004,RECEIPT,-269,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,8,Aug,02-Aug,2,31/08/2004,RECEIPT,-487,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,9,Sep,03-Sep,3,21/09/2004,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,9,Sep,03-Sep,3,13/09/2004,RECEIPT,-334,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,9,Sep,03-Sep,3,23/09/2004,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,9,Sep,03-Sep,3,29/09/2004,RECEIPT,-6600,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,10,Oct,04-Oct,4,07/10/2004,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,10,Oct,04-Oct,4,12/10/2004,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,10,Oct,04-Oct,4,13/10/2004,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,11,Nov,05-Nov,5,22/11/2004,RECEIPT,-317,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,11,Nov,05-Nov,5,22/11/2004,RECEIPT,-378,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,11,Nov,05-Nov,5,30/11/2004,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,12,Dec,06-Dec,6,16/12/2004,RECEIPT,-6964,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,12,Dec,06-Dec,6,17/12/2004,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,12,Dec,06-Dec,6,22/12/2004,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,1,Jan,07-Jan,7,06/01/2005,RECEIPT,-338,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,2,Feb,08-Feb,8,25/02/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,3,Mar,09-Mar,9,08/03/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,3,Mar,09-Mar,9,10/03/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,3,Mar,09-Mar,9,29/03/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,3,Mar,09-Mar,9,31/03/2005,RECEIPT,-160,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,4,Apr,10-Apr,10,06/04/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,4,Apr,10-Apr,10,07/04/2005,RECEIPT,-668,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,4,Apr,10-Apr,10,07/04/2005,RECEIPT,-1002,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,4,Apr,10-Apr,10,11/04/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,4,Apr,10-Apr,10,15/04/2005,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,4,Apr,10-Apr,10,15/04/2005,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,4,Apr,10-Apr,10,26/04/2005,RECEIPT,-538,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,5,May,11-May,11,12/05/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,5,May,11-May,11,16/05/2005,RECEIPT,-1203,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,5,May,11-May,11,16/05/2005,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,5,May,11-May,11,25/05/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,5,May,11-May,11,25/05/2005,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,5,May,11-May,11,27/05/2005,RECEIPT,-255,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,6,Jun,12-Jun,12,02/06/2005,RECEIPT,-109,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,6,Jun,12-Jun,12,06/06/2005,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,6,Jun,12-Jun,12,17/06/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,6,Jun,12-Jun,12,21/06/2005,RECEIPT,-218,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,6,Jun,12-Jun,12,23/06/2005,RECEIPT,-51,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,6,Jun,12-Jun,12,24/06/2005,RECEIPT,-2498,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,6,Jun,12-Jun,12,30/06/2005,RECEIPT,-1837,45530.00,,,,,
DC05ACT,45020,05,Casual Open Space,No Sector,6,Jun,12-Jun,12,30/06/2005,RECEIPT,-167,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,7,Jul,01-Jul,1,07/07/2004,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,7,Jul,01-Jul,1,08/07/2004,RECEIPT,-4290,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,7,Jul,01-Jul,1,13/07/2004,RECEIPT,-3330,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,7,Jul,01-Jul,1,19/07/2004,RECEIPT,-480,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,7,Jul,01-Jul,1,21/07/2004,RECEIPT,-480,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,7,Jul,01-Jul,1,26/07/2004,RECEIPT,-1560,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,8,Aug,02-Aug,2,23/08/2004,RECEIPT,-1260,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,8,Aug,02-Aug,2,31/08/2004,RECEIPT,-4620,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,9,Sep,03-Sep,3,21/09/2004,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,9,Sep,03-Sep,3,21/09/2004,RECEIPT,-1560,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,9,Sep,03-Sep,3,13/09/2004,RECEIPT,-1560,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,9,Sep,03-Sep,3,23/09/2004,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,10,Oct,04-Oct,4,07/10/2004,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,10,Oct,04-Oct,4,12/10/2004,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,10,Oct,04-Oct,4,13/10/2004,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,10,Oct,04-Oct,4,21/10/2004,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,11,Nov,05-Nov,5,22/11/2004,RECEIPT,-1770,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,11,Nov,05-Nov,5,30/11/2004,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,12,Dec,06-Dec,6,17/12/2004,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,12,Dec,06-Dec,6,22/12/2004,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,1,Jan,07-Jan,7,06/01/2005,RECEIPT,-428,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,2,Feb,08-Feb,8,25/02/2005,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,3,Mar,09-Mar,9,08/03/2005,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,3,Mar,09-Mar,9,10/03/2005,RECEIPT,-3900,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,3,Mar,09-Mar,9,29/03/2005,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,3,Mar,09-Mar,9,31/03/2005,RECEIPT,-750,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,4,Apr,10-Apr,10,06/04/2005,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,4,Apr,10-Apr,10,07/04/2005,RECEIPT,-3120,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,4,Apr,10-Apr,10,07/04/2005,RECEIPT,-4680,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,4,Apr,10-Apr,10,11/04/2005,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,4,Apr,10-Apr,10,15/04/2005,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,4,Apr,10-Apr,10,15/04/2005,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,4,Apr,10-Apr,10,26/04/2005,RECEIPT,-2520,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,5,May,11-May,11,12/05/2005,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,5,May,11-May,11,16/05/2005,RECEIPT,-5339,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,5,May,11-May,11,16/05/2005,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,5,May,11-May,11,25/05/2005,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,5,May,11-May,11,25/05/2005,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,5,May,11-May,11,27/05/2005,RECEIPT,-1200,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,6,Jun,12-Jun,12,02/06/2005,RECEIPT,-510,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,6,Jun,12-Jun,12,06/06/2005,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,6,Jun,12-Jun,12,17/06/2005,RECEIPT,-780,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,6,Jun,12-Jun,12,21/06/2005,RECEIPT,-1020,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,6,Jun,12-Jun,12,23/06/2005,RECEIPT,-240,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,6,Jun,12-Jun,12,24/06/2005,RECEIPT,-11670,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,6,Jun,12-Jun,12,30/06/2005,RECEIPT,-8580,45530.00,,,,,
DC05ACT,45020,05,Structured Open Space,No Sector,6,Jun,12-Jun,12,30/06/2005,RECEIPT,-780,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,7,Jul,01-Jul,1,01/07/2004,RECEIPT,-1050,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,7,Jul,01-Jul,1,02/07/2004,RECEIPT,-2145,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,7,Jul,01-Jul,1,13/07/2004,RECEIPT,-300.3,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,7,Jul,01-Jul,1,22/07/2004,RECEIPT,-643.5,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,7,Jul,01-Jul,1,23/07/2004,RECEIPT,-1630.2,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,8,Aug,02-Aug,2,24/08/2004,CHARGE,-451.5,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,8,Aug,02-Aug,2,24/08/2004,CHARGE,-429,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,9,Sep,03-Sep,3,02/09/2004,RECEIPT,-1501.5,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,9,Sep,03-Sep,3,07/09/2004,RECEIPT,-214.5,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,9,Sep,03-Sep,3,10/09/2004,RECEIPT,-1115.4,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,9,Sep,03-Sep,3,21/09/2004,RECEIPT,-343.2,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,9,Sep,03-Sep,3,22/09/2004,RECEIPT,-772.2,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,9,Sep,03-Sep,3,27/09/2004,RECEIPT,-343.2,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,10,Oct,04-Oct,4,11/10/2004,RECEIPT,-2917.2,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,12,Dec,06-Dec,6,01/12/2004,RECEIPT,-3818.1,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,12,Dec,06-Dec,6,07/12/2004,RECEIPT,-1115.4,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,2,Feb,08-Feb,8,01/02/2005,RECEIPT,-3303.3,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,2,Feb,08-Feb,8,24/02/2005,RECEIPT,-85.8,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,4,Apr,10-Apr,10,05/04/2005,RECEIPT,-128.7,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,4,Apr,10-Apr,10,06/04/2005,RECEIPT,-42.9,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,4,Apr,10-Apr,10,07/04/2005,RECEIPT,-429,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,4,Apr,10-Apr,10,29/04/2005,RECEIPT,-214.5,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,5,May,11-May,11,31/05/2005,RECEIPT,-42.9,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,6,Jun,12-Jun,12,23/06/2005,RECEIPT,-2402.4,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,6,Jun,12-Jun,12,24/06/2005,RECEIPT,-600.6,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,6,Jun,12-Jun,12,29/06/2005,RECEIPT,-5233.8,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,6,Jun,12-Jun,12,30/06/2005,RECEIPT,-42.9,45530.00,,,,,
DC05ACT,45095,06,Street Trees,No Sector,6,Jun,12-Jun,12,30/06/2005,RECEIPT,-471.9,45530.00,,,,,
DC05ACT,45005,07,Drainage,No Sector,8,Aug,02-Aug,2,31/08/2004,RECEIPT,-159.1,45530.00,,,,,
DC05ACT,45005,07,Drainage,No Sector,11,Nov,05-Nov,5,08/11/2004,RECEIPT,-6725.29,45530.00,,,,,
DC05ACT,45005,07,Drainage,No Sector,12,Dec,06-Dec,6,01/12/2004,RECEIPT,-398536,45530.00,,,,,
DC05ACT,45005,07,Drainage,No Sector,3,Mar,09-Mar,9,23/03/2005,RECEIPT,-493.35,45530.00,,,,,
DC05ACT,45005,07,Drainage,No Sector,3,Mar,09-Mar,9,24/03/2005,RECEIPT,-723.15,45530.00,,,,,
DC05ACT,45005,07,Drainage,No Sector,3,Mar,09-Mar,9,24/03/2005,RECEIPT,-35.35,45530.00,,,,,
DC05ACT,45005,07,Drainage,No Sector,5,May,11-May,11,19/05/2005,RECEIPT,-128.56,45530.00,,,,,
DC05ACT,45020,07,Open Space,No Sector,3,Mar,09-Mar,9,23/03/2005,RECEIPT,-411,45530.00,,,,,
DC05ACT,45020,07,Open Space,No Sector,3,Mar,09-Mar,9,24/03/2005,RECEIPT,-1251.05,45530.00,,,,,
DC05ACT,45020,07,Open Space,No Sector,5,May,11-May,11,19/05/2005,RECEIPT,-131,45530.00,,,,,
DC05ACT,45020,07,Open Space,No Sector,5,May,11-May,11,31/05/2005,RECEIPT,-429,45530.00,,,,,
DC05ACT,45025,11,Community Facilities,No Sector,7,Jul,01-Jul,1,02/07/2004,RECEIPT,-34400,45530.00,,,,,
DC05ACT,45025,11,Community Facilities,No Sector,7,Jul,01-Jul,1,05/07/2004,RECEIPT,-688,45530.00,,,,,
DC05ACT,45025,11,Community Facilities,No Sector,7,Jul,01-Jul,1,07/07/2004,RECEIPT,-212,45530.00,,,,,
DC05ACT,45025,11,Community Facilities,No Sector,7,Jul,01-Jul,1,08/07/2004,RECEIPT,-3786,45530.00,,,,,
DC05ACT,45025,11,Community Facilities,No Sector,7,Jul,01-Jul,1,13/07/2004,RECEIPT,-2938,45530.00,,,,,
DC05ACT,45025,11,Community Facilities,No Sector,7,Jul,01-Jul,1,13/07/2004,RECEIPT,-4816,45530.00,,,,,
DC05ACT,45025,11,Community Facilities,No Sector,7,Jul,01-Jul,1,19/07/2004,RECEIPT,-424,45530.00,,,,,
DC05ACT,45025,11,Community Facilities,No Sector,7,Jul,01-Jul,1,21/07/2004,RECEIPT,-424,45530.00,,,,,
