,,," $922,052,571 ",,,,,,,,,,,,,,,,,,
 Item No. , TRDS Item , Tweed Road Contribution Projects , TOTAL ,Column1, Active , Cost Estimate , Column2 , Construction Cost , Professional & Principal Costs ,, Preliminaries ,, Traffic Control ,, Contingency  ,, Escalation ,,,,
,,,,,,,,, Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Year , Rate ,Cost ($),,
24.01,LEGACY,Upgrade McAllisters Rd on the existing alignment - existing upgraded section to McAllisters Rd Extension (1700m) ," $36,441,472 ",,Yes,,," $23,556,220.00 ",7%," $1,648,935 ",6%," $1,413,373 ",6%," $1,413,373 ",30.00%," $8,409,571 ",,0.00%, $-   ,,
24.02,3,McAllisters Road Earthworks allowance, $-   ,,Yes,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
25.00,LEGACY,Piggabeen Rd upgrade - Cobaki Parkway to Piggabeen Rd Deviation (1285m)," $46,680,538 ",,Yes,,," $30,174,879.38 ",7%," $2,112,242 ",6%," $1,810,493 ",6%," $1,810,493 ",30.00%," $10,772,432 ",,0.00%, $-   ,,
28.00,LEGACY,Piggabeen Rd upgrade - Anconia Ave to Gollan Dr (270m)," $4,077,756 ",,Yes,,," $2,323,507.84 ",13%," $302,056 ",11%," $255,586 ",11%," $255,586 ",30.00%," $941,021 ",,0.00%, $-   ,,
28.01,5,Piggabeen Rd and Gollan Dr intersection upgrade (330m of Kennedy Dr) (including Cobaki Creek bridge duplication and tie-in to existing 4-lanes to the east) ," $24,121,645 ",,Yes,,," $14,496,180.65 ",10%," $1,449,618 ",9%," $1,304,656 ",9%," $1,304,656 ",30.00%," $5,566,533 ",,0.00%, $-   ,,
30.01,LEGACY,Kennedy Dr and Barret St intersection upgrade," $3,268,676 ",,Yes,,," $1,862,493.73 ",13%," $242,124 ",11%," $204,874 ",11%," $204,874 ",30.00%," $754,310 ",,0.00%, $-   ,,
36.16,12,"Pacific Motorway ramps, Pacific Motorway Service Rd and Kennedy Dr intersection upgrade (270m of Kennedy Dr)"," $11,915,939 ",,Yes,,," $7,161,021.19 ",10%," $716,102 ",9%," $644,492 ",9%," $644,492 ",30.00%," $2,749,832 ",,0.00%, $-   ,,
36.20,6,"Southbound Pacific Motorway ramp, Cordyline Dr and Gold Coast Highway intersection upgrade"," $2,987,010 ",,Yes,,," $1,702,000.00 ",13%," $221,260 ",11%," $187,220 ",11%," $187,220 ",30.00%," $689,310 ",,0.00%, $-   ,,
36.21,7,"Northbound Pacific Motorway onramp, Sugarwood Dr and Gold Coast Highway intersection upgrade"," $2,987,010 ",,Yes,,," $1,702,000.00 ",13%," $221,260 ",11%," $187,220 ",11%," $187,220 ",30.00%," $689,310 ",,0.00%, $-   ,,
36.22,9,Sugarwood Dr and Sussyer Ave intersection upgrade," $2,558,790 ",,Yes,,," $1,458,000.00 ",13%," $189,540 ",11%," $160,380 ",11%," $160,380 ",30.00%," $590,490 ",,0.00%, $-   ,,
36.23,10,Convert Sugarwood Dr to a two-way service road (550m)," $2,315,654 ",,Yes,,," $1,319,461.07 ",13%," $171,530 ",11%," $145,141 ",11%," $145,141 ",30.00%," $534,382 ",,0.00%, $-   ,,
36.35,13,Kennedy Dr and Ducat St intersection upgrade," $3,551,144 ",,Yes,,," $2,023,443.98 ",13%," $263,048 ",11%," $222,579 ",11%," $222,579 ",30.00%," $819,495 ",,0.00%, $-   ,,
